Index,Survived,Prediction,Result
643,0,0.0,0
644,0,0.6364204272940391,1
645,0,0.18050293429799794,0
646,1,0.999999578182651,1
647,0,0.18050293429799794,0
648,0,0.18050293429799794,0
649,0,0.18050293429799794,0
650,0,0.5586200521257887,1
651,0,0.18050293429799794,0
652,0,0.636420427294039,1
653,0,0.18050293429799794,0
654,0,0.14022667341099318,0
655,0,0.25351257349223466,0
656,1,0.945529524423287,1
657,1,0.18050293429799794,0
658,0,0.0,0
659,1,0.636420427294039,1
660,0,0.28881988702763073,0
661,1,0.25351257349223466,0
662,1,0.945529524423287,1
663,1,0.6364204272940391,1
664,1,0.28881988702763073,0
665,0,0.18050293429799794,0
666,0,0.28881988702763073,0
667,1,1.0,1
668,0,0.18050293429799794,0
669,1,0.0,0
670,0,0.28881988702763073,0
671,0,0.28881988702763073,0
672,1,0.999999578182651,1
673,0,0.18050293429799794,0
674,0,0.28881988702763073,0
675,0,0.14022667341099318,0
676,0,0.18050293429799794,0
677,0,0.18050293429799794,0
678,0,0.25351257349223466,0
679,0,0.14022667341099318,0
680,0,0.6364204272940391,1
681,1,0.999999578182651,1
682,0,0.6017543039525979,1
683,1,0.6364204272940391,1
684,1,0.945529524423287,1
685,1,0.22033644466311578,0
686,1,0.5586200521257886,1
687,0,0.14022667341099318,0
688,0,0.18050293429799794,0
689,1,0.9455291255825296,1
690,0,0.18050293429799794,0
691,1,0.6017543039525979,1
692,1,0.636420427294039,1
693,0,0.28362203728469065,0
694,1,0.28881988702763073,0
695,0,0.18050293429799794,0
696,1,0.9455291255825296,1
697,0,0.0,0
698,0,0.14022667341099318,0
699,1,0.636420427294039,1
700,1,0.6364204272940391,1
701,0,0.28881988702763073,0
702,0,0.28881988702763073,0
703,1,0.945529524423287,1
704,1,0.636420427294039,1
705,0,0.18050293429799794,0
706,0,0.636420427294039,1
707,0,0.18050293429799794,0
708,0,0.18050293429799794,0
709,0,0.5586200521257886,1
710,0,0.18050293429799794,0
711,1,0.999999578182651,1
712,1,0.28362203728469065,0
713,0,0.18050293429799794,0